NA (cm^-3),ND (cm^-3),ni (cm^-3),tsi (nm),tox (nm),L (nm),PhiM (eV),Ld (nm),Er (V/cm)
1e+20,5e+18,10000000000.0,9.84234322541123,2.812050812905193,65.15171789724444,4.4,1.6260033000029201,7082953.567744728
1e+20,5e+18,10000000000.0,9.206367125855023,3.111474311178543,82.74794993437071,4.4,1.613141094592947,4565770.425915506
1e+20,5e+18,10000000000.0,4.952175947243655,3.7067642175341486,64.37820871831227,4.4,0.953131776092775,9863326.956859708
1e+20,5e+18,10000000000.0,1.359531759574849,4.6451269089157545,61.44479651217334,4.4,0.4912207360738087,37491197.721114956
1e+20,5e+18,10000000000.0,4.260641410001844,4.82571676178126,37.30767973250779,4.4,1.040515886636802,14529380.299499458
1e+20,5e+18,10000000000.0,8.437512804404996,4.218689744333805,3.111745020831723,4.4,1.6320240131857435,5425841.716338161
1e+20,5e+18,10000000000.0,7.313491913186494,2.259859282564082,13.453855509999109,4.4,1.5985760833165772,6201914.121791604
1e+20,5e+18,10000000000.0,5.134092900345608,4.007462466604553,49.50624539377541,4.4,1.1153678480075016,15144166.082987003
1e+20,5e+18,10000000000.0,1.4959138164294798,3.2309111656179863,61.736300068464516,4.4,0.6723643767521202,48243498.722517066
1e+20,5e+18,10000000000.0,4.842052550409724,3.412102998473185,39.318000698992236,4.4,1.3692610589908454,9753342.325797483
1e+20,5e+18,10000000000.0,5.221224457460951,2.147445171035531,66.56907400296996,4.4,1.723195014801762,10775769.702032663
1e+20,5e+18,10000000000.0,9.356999796047223,2.5731864180390747,48.402019693899554,4.4,1.9168958154387186,5795113.941672781
1e+20,5e+18,10000000000.0,6.769774932239435,4.371540822600943,9.453329016705162,4.4,1.3294212584780518,10582355.200827599
1e+20,5e+18,10000000000.0,3.80487624989184,3.3618764991435794,19.705413834211548,4.4,1.2116606590177648,15876604.83329572
1e+20,5e+18,10000000000.0,5.727864380056492,2.9049867248934467,76.07984542222303,4.4,1.1287056727264322,7876232.132314162
1e+20,5e+18,10000000000.0,1.5944977703994407,3.1520572218948746,66.06740895632623,4.4,0.6836106163693912,43624822.69813662
1e+20,5e+18,10000000000.0,9.75311412084763,4.563198539977041,80.84429287008706,4.4,1.7001150830270002,5728992.651645575
1e+20,5e+18,10000000000.0,4.240539117376534,4.246997052214871,13.227480673521482,4.4,1.0952915175991402,11912864.969994398
1e+20,5e+18,10000000000.0,5.3008061942182225,2.8169461915432485,89.14936051151143,4.4,1.3952786467615768,10379542.821399698
1e+20,5e+18,10000000000.0,4.197555768132304,2.35250552063712,21.218384113644223,4.4,1.3516131245769694,14272654.338296697
1e+20,5e+18,10000000000.0,7.142605571045801,2.7559946649322153,4.024849236937855,4.4,1.511836081743777,7521711.807028169
1e+20,5e+18,10000000000.0,6.960089424966338,4.762269353164201,89.77579569765922,4.4,1.2188511269875235,7137297.79469185
1e+20,5e+18,10000000000.0,7.43790079476222,3.744766513549266,27.453428033724844,4.4,1.4969249014195116,7520950.157274522
1e+20,5e+18,10000000000.0,3.4132890665072875,3.6004406262343487,61.117692368592714,4.4,0.941868333968476,11943587.44180769
1e+20,5e+18,10000000000.0,3.841016330476594,3.7891807990773847,18.37136133333855,4.4,1.09306189142322,18458633.794731945
1e+20,5e+18,10000000000.0,2.1272610798658715,3.0980847972395456,53.47988230132533,4.4,0.9483679011631213,22017887.78350453
1e+20,5e+18,10000000000.0,6.899589746615013,4.4213210609585385,81.65104382154665,4.4,1.0766619290091852,6051980.7812792575
1e+20,5e+18,10000000000.0,1.358174146020873,3.5698587479007493,30.855761566274158,4.4,0.6048566120113712,48703583.34385978
1e+20,5e+18,10000000000.0,6.379141019711131,2.3502437083063867,61.31209591585925,4.4,1.586882422369413,11123354.215511618
1e+20,5e+18,10000000000.0,8.827262963664705,2.387195374487189,19.347612225462235,4.4,2.067149214141355,8219214.218763088
1e+20,5e+18,10000000000.0,9.0174893346067,3.610577439507855,57.3571996885291,4.4,1.422235168294654,6624944.603722072
1e+20,5e+18,10000000000.0,5.041339843329655,4.809710654212518,32.27118060812339,4.4,1.0812315386343858,9563871.686094271
1e+20,5e+18,10000000000.0,5.133733193917664,2.9250563650285963,21.375118497151796,4.4,1.5248363182429285,13535784.674653968
1e+20,5e+18,10000000000.0,1.6927226470721561,4.608623506577655,30.246838411216256,4.4,0.5862018851518389,40165187.84324821
1e+20,5e+18,10000000000.0,7.036885228987321,4.292286759736638,18.559172960178543,4.4,1.4909065014956722,7084218.051301223
1e+20,5e+18,10000000000.0,8.39133478335561,2.7434373287207205,81.4667013818958,4.4,2.093912207737054,9073206.134681897
1e+20,5e+18,10000000000.0,3.2018954914424174,2.1090222449487275,37.55525910959021,4.4,1.038007128790105,13796471.009555934
1e+20,5e+18,10000000000.0,4.791707934700282,2.305541795427148,24.33929953276996,4.4,1.2877089922399438,16550994.064001454
1e+20,5e+18,10000000000.0,8.549554030887432,4.185481801542321,42.01148216838616,4.4,1.6866963759435905,8703367.704359071
1e+20,5e+18,10000000000.0,8.894084208960592,2.5990092141219403,30.88664651216511,4.4,2.1890363750916735,7591107.1036568545
1e+20,5e+18,10000000000.0,3.1886198223780333,3.1138127615161815,67.76447508175936,4.4,0.8491022652100839,24320866.033303864
1e+20,5e+18,10000000000.0,5.955135710872278,3.5050974980192744,87.49613233403801,4.4,1.0505833137269671,11568577.120278137
1e+20,5e+18,10000000000.0,2.7324383557224436,4.176404505350488,41.108928132695276,4.4,0.699211830796249,17427028.054073624
1e+20,5e+18,10000000000.0,1.916908877256009,2.3396936697773763,77.90990579758491,4.4,1.0847380831291704,30093368.656672094
1e+20,5e+18,10000000000.0,9.200084512527617,3.2190992158323843,52.230087399686894,4.4,1.474161741282129,4658666.006263685
1e+20,5e+18,10000000000.0,8.384567538088984,3.455218727428086,16.679502863198312,4.4,1.5593546528492053,6629596.176428901
1e+20,5e+18,10000000000.0,7.840314116228565,3.622481191914619,63.08417856107671,4.4,1.6762057761207407,8885373.69252738
1e+20,5e+18,10000000000.0,1.4388968693182638,4.4550819241856505,47.66880124994635,4.4,0.45928756145584154,38541840.780783735
1e+20,5e+18,10000000000.0,8.593559134392317,2.5150345851296505,59.602767522933,4.4,1.925737422389968,6192052.231975265
1e+20,5e+18,10000000000.0,4.942396683148454,4.423494355479867,80.40280489373485,4.4,0.9627509078815123,12911595.930369738
1e+20,5e+18,10000000000.0,4.081556109662737,4.078635283089957,41.31780764707601,4.4,1.1453438530728492,18347948.465700228
1e+20,5e+18,10000000000.0,5.9182872492283884,3.667612442596878,81.40245321990994,4.4,1.1602722879664042,7080313.262474333
1e+20,5e+18,10000000000.0,1.8221791845120023,4.098583611207715,68.30820424250398,4.4,0.7165835175675294,30413483.95318824
1e+20,5e+18,10000000000.0,7.80981894417159,3.236053216854969,45.508628551384675,4.4,1.6617654279841074,5932228.391438698
1e+20,5e+18,10000000000.0,6.241915691994663,2.4151927579043737,55.48032580224284,4.4,1.428525831849613,10864320.08625931
1e+20,5e+18,10000000000.0,2.6793108718585077,3.997295720796102,31.325558529153994,4.4,0.6663616016077278,16507596.368078744
1e+20,5e+18,10000000000.0,2.6940897979214102,3.5740169200568666,88.57296507727335,4.4,0.8366995081700107,24717925.287638225
1e+20,5e+18,10000000000.0,2.658237864154068,3.9181244016283268,61.05955118538445,4.4,0.7542238107029052,19353886.845746353
1e+20,5e+18,10000000000.0,1.5130214879674058,3.01399634308547,6.814676167206801,4.4,0.7960850677056956,31695962.635609377
1e+20,5e+18,10000000000.0,6.290186044345163,4.720599732019508,31.41610580007676,4.4,1.2930272072091384,12313483.538794555
1e+20,5e+18,10000000000.0,8.563133598296574,3.7621096057267307,57.228355737038,4.4,1.482757124023943,4757718.959090239
1e+20,5e+18,10000000000.0,1.1574839258864973,2.2562074528726215,7.900995168533862,4.4,0.746771486392579,49686297.657685384
1e+20,5e+18,10000000000.0,1.441041804741462,3.349411972113286,5.077924644765421,4.4,0.6832792888900779,28358011.24159849
1e+20,5e+18,10000000000.0,6.154932490182512,4.269068164230903,42.15210883891882,4.4,1.357860630811745,9641652.775043426
1e+20,5e+18,10000000000.0,8.375461168474471,4.382403685196817,31.94404563326229,4.4,1.3409739500626898,7168786.757411821
1e+20,5e+18,10000000000.0,3.9406500151177024,3.483791158291276,41.131978898885436,4.4,0.9680204470396673,13415679.812461302
1e+20,5e+18,10000000000.0,4.1465295892695,4.684242712493903,25.85431795956045,4.4,0.8524277559990667,10921535.73875235
1e+20,5e+18,10000000000.0,6.367118477470983,2.8030053115828926,17.33044398403934,4.4,1.5289795354977884,8646847.346124308
1e+20,5e+18,10000000000.0,3.467916002117323,3.2317960917148,62.95547205728938,4.4,1.014816141443261,19288390.363683227
1e+20,5e+18,10000000000.0,1.2394752946991572,4.695790731706911,47.76768711529864,4.4,0.5014595231545295,57520978.95834474
1e+20,5e+18,10000000000.0,7.617056662914365,4.6887701494147365,20.413416378694915,4.4,1.0661214211306211,8038541.23780385
1e+20,5e+18,10000000000.0,6.630849216473078,4.057138306474043,30.804280084619855,4.4,1.3902105218521192,9590532.630361225
1e+20,5e+18,10000000000.0,6.226803991500932,4.576941641366661,54.48728796670935,4.4,1.032834803724346,7712568.905418536
1e+20,5e+18,10000000000.0,7.675157160926408,2.2663198008686978,9.283953299705573,4.4,1.617200712058797,6709076.081367257
1e+20,5e+18,10000000000.0,7.0770775380583375,4.5949849286233295,15.82841180615762,4.4,1.1977294951391866,6567092.723255002
1e+20,5e+18,10000000000.0,2.8529378936048904,2.9618597196506804,9.37236755734294,4.4,0.8745726358377687,17515913.722552687
1e+20,5e+18,10000000000.0,4.17232942249016,2.534994537284649,73.67160794612835,4.4,1.3259570605433115,11742953.695103835
1e+20,5e+18,10000000000.0,2.134991275107625,2.718109509026139,68.4596032894448,4.4,0.8406998770563944,28467540.904861864
1e+20,5e+18,10000000000.0,2.168713120760929,3.2539055240416612,68.53822507349537,4.4,0.7997084875467255,28822415.29930771
1e+20,5e+18,10000000000.0,7.085761717208853,2.753576013813402,65.32030488241443,4.4,1.6279991718754265,10979468.395601861
1e+20,5e+18,10000000000.0,8.727400962842484,2.9617027580494972,61.23653185927862,4.4,1.513044764305697,5479618.283572614
1e+20,5e+18,10000000000.0,9.664593254750251,2.4049354582149265,44.49829663790122,4.4,1.7286170437533805,6794598.249045173
1e+20,5e+18,10000000000.0,6.655124057945,2.8885302966769957,58.878200225119,4.4,1.7488626802097735,10922466.677795725
1e+20,5e+18,10000000000.0,2.6569119102486125,3.7168514436260036,6.337455266553794,4.4,0.8230614089362023,23489547.512127455
1e+20,5e+18,10000000000.0,1.9508531090403762,3.3255611242731917,57.06740477114026,4.4,0.7389821822378418,25732406.94925332
1e+20,5e+18,10000000000.0,8.31565874383082,3.0401562837077334,70.67536038170832,4.4,1.346652061269773,6073121.896478279
1e+20,5e+18,10000000000.0,6.208808287239993,4.239356386571342,46.53117735344195,4.4,1.2092120508419288,6695346.385275361
1e+20,5e+18,10000000000.0,6.564565189123479,4.680529914179954,34.10365957316961,4.4,1.2099438422987614,7954490.138730964
1e+20,5e+18,10000000000.0,8.033158798792384,4.270367668707191,27.136125927685185,4.4,1.4038277145475506,8687012.034497038
1e+20,5e+18,10000000000.0,7.329495049592064,2.9960021063530373,58.923778364101175,4.4,1.6936326537856425,5716725.368498131
1e+20,5e+18,10000000000.0,8.51012427570487,4.233326503512661,63.27370428080206,4.4,1.234927894005441,5731033.968496729
1e+20,5e+18,10000000000.0,1.5059251491389063,2.455940547422154,78.7741811880412,4.4,0.7054466490098457,45320512.762733586
1e+20,5e+18,10000000000.0,7.727685730718544,2.390953964273873,32.7830651741062,4.4,2.021241986640497,9227350.205180356
1e+20,5e+18,10000000000.0,8.657674815898858,3.036881111108477,69.97019074254594,4.4,1.9904533777802256,6723830.317070343
1e+20,5e+18,10000000000.0,3.575215382124829,4.4231071071321715,51.837956704472404,4.4,0.7681303809994028,18998288.572695117
1e+20,5e+18,10000000000.0,6.764025465939276,2.7390447417269055,79.80677468899289,4.4,1.569981545653277,8207847.0913158
1e+20,5e+18,10000000000.0,3.827458574532749,2.1897602266960385,48.919653421719005,4.4,1.1709251865519537,12122020.107462334
1e+20,5e+18,10000000000.0,9.621739598342087,2.3951286056190653,48.03379507062315,4.4,1.651600545493627,5812460.332074754
1e+20,5e+18,10000000000.0,1.300812151919534,4.57623490558874,53.27530608535909,4.4,0.49594109497756395,48584042.44983952
1e+20,5e+18,10000000000.0,6.218135594496595,3.9013498542418628,68.1904358973918,4.4,1.082540461184296,12531430.054867435
1e+20,5e+18,10000000000.0,2.498531923445636,2.75960349010993,86.9280716580761,4.4,1.0314250273361347,17110062.786226902
1e+20,5e+18,10000000000.0,7.4099818465944285,3.665887475984544,9.400011816771611,4.4,1.4409156082011951,8137100.063411073
1e+20,5e+18,10000000000.0,2.583012550767959,3.582738867276051,7.648810408018493,4.4,0.728126641277968,20579377.793818638
1e+20,5e+18,10000000000.0,3.1184493570852183,3.966307935321984,84.56687935443846,4.4,0.712636862918169,19346944.863475323
1e+20,5e+18,10000000000.0,5.449337299411823,2.699562663264849,49.09917942008393,4.4,1.595903115523517,7516330.086501014
1e+20,5e+18,10000000000.0,9.233514549971902,4.593208961583193,56.49656226732344,4.4,1.2341930547412374,5688084.846113452
1e+20,5e+18,10000000000.0,2.9054293493317376,2.9281056862400385,44.97085333874141,4.4,1.0384421093063214,25054722.4346802
1e+20,5e+18,10000000000.0,2.298160190062932,4.082394961928711,11.148198376850281,4.4,0.7013532781321118,27046708.764232576
1e+20,5e+18,10000000000.0,7.830791486686276,2.0483739391166447,69.82377592242399,4.4,2.0220895302616193,7409634.110586972
1e+20,5e+18,10000000000.0,5.505575791005379,3.1179713896824417,68.00854412270706,4.4,1.230832343009571,9339804.739882356
1e+20,5e+18,10000000000.0,9.206066011435942,3.055129453876425,30.118188969874645,4.4,1.4490791138104269,5639944.450447798
1e+20,5e+18,10000000000.0,2.3195310144385806,3.6304532857490432,29.642814334870835,4.4,0.7107377004932085,23851397.976247374
1e+20,5e+18,10000000000.0,6.813351037207354,2.2182087853315897,75.89220013878011,4.4,1.5339037378895821,10776316.675542502
1e+20,5e+18,10000000000.0,3.0959123153663355,4.370394121178325,9.295081423495416,4.4,0.8174216940035646,25416911.157905202
1e+20,5e+18,10000000000.0,2.4108438578647537,2.6533424053027055,79.65614790702122,4.4,1.0135594473713134,23869739.662436187
1e+20,5e+18,10000000000.0,7.150864736415435,4.031113444646031,25.329567020944555,4.4,1.206051862647798,7794038.288276826
1e+20,5e+18,10000000000.0,6.343161579178599,4.409636369732279,54.589673054727974,4.4,0.9652827858125692,11644355.911608228
1e+20,5e+18,10000000000.0,7.793447125260981,3.685630868724539,84.43149357315467,4.4,1.4651639962673215,7323615.841371456
1e+20,5e+18,10000000000.0,3.785163188015641,4.2226496201659565,61.99665763368824,4.4,0.9868339903357863,16401070.127803832
1e+20,5e+18,10000000000.0,5.03174490743971,3.9855809366450163,39.055393684632186,4.4,1.331637913999508,9785405.95552632
1e+20,5e+18,10000000000.0,4.6492450869737665,3.0665893914560227,62.98947617477112,4.4,1.2753647693241528,15000306.52859332
1e+20,5e+18,10000000000.0,9.856805175698629,4.426575617100696,32.9262283595242,4.4,1.4750176146484568,6216977.168414807
1e+20,5e+18,10000000000.0,3.630240610654491,2.884104109656584,27.121482222379193,4.4,1.1548612279532675,19932943.78263476
1e+20,5e+18,10000000000.0,3.653355145120902,3.7136387532545516,89.71144518031713,4.4,1.1616156193148905,19496957.282205194
1e+20,5e+18,10000000000.0,4.190933879457466,4.236193217424619,68.31875011264152,4.4,1.1252913705271252,11596506.203312527
1e+20,5e+18,10000000000.0,6.081346731612894,3.136867729437523,59.09063803221813,4.4,1.2937697866077613,11284576.435277466
1e+20,5e+18,10000000000.0,3.270904698373707,2.908302822852275,33.910198960080734,4.4,0.9490508621749502,22012923.93320243
1e+20,5e+18,10000000000.0,9.237609463413465,3.3780380305184683,7.27699213648919,4.4,1.4966551944899882,5828812.080068099
1e+20,5e+18,10000000000.0,3.3911700837963714,4.453890483047461,5.701948215058538,4.4,0.8741226107107336,13831321.743550578
1e+20,5e+18,10000000000.0,9.062341584041752,4.789765289436994,51.2137692240455,4.4,1.5097847095164825,4425488.25281609
1e+20,5e+18,10000000000.0,1.9312755728192619,3.6352502385796703,69.29684673039745,4.4,0.7298167754213469,30050680.980242085
1e+20,5e+18,10000000000.0,6.909064321596871,3.9843986159709557,49.75198956861539,4.4,1.0891708083726495,7829903.839866164
1e+20,5e+18,10000000000.0,9.162869665944193,4.7098208667167425,76.14830125870297,4.4,1.5195458164879445,6787872.753901853
1e+20,5e+18,10000000000.0,2.518744945584066,2.295640554238827,5.908108379110282,4.4,1.1756639097976593,18867191.68880823
1e+20,5e+18,10000000000.0,9.714942640893295,2.696235733598495,34.90743064905679,4.4,1.738366821870874,7656928.574497391
1e+20,5e+18,10000000000.0,5.075950243739605,4.126700018754748,23.62512403215349,4.4,1.1818760662183312,9911485.77296915
1e+20,5e+18,10000000000.0,9.51143597596922,4.471233385736899,41.91274822966962,4.4,1.4156833028589786,5157705.348324867
1e+20,5e+18,10000000000.0,7.091380392670423,4.571087084991734,9.296746207888656,4.4,1.4393987416479468,8352190.8260050835
1e+20,5e+18,10000000000.0,3.7142818288619637,3.245321530564798,86.00945281668331,4.4,1.2175456513279257,16141489.448618544
1e+20,5e+18,10000000000.0,2.6947227242539578,2.2680197068756005,22.4232198930344,4.4,1.1011064348114707,18036515.858921893
1e+20,5e+18,10000000000.0,3.7336154160258945,3.3133444318988596,83.24077646707188,4.4,1.142843516081197,13626049.659712406
1e+20,5e+18,10000000000.0,1.837156683364075,2.6922037706211612,40.05270448819132,4.4,0.95274448568984,25467729.55724955
1e+20,5e+18,10000000000.0,2.294811697089968,2.8735893649898725,88.74059959320397,4.4,0.8921060897432793,29953833.345059764
1e+20,5e+18,10000000000.0,1.9419439631183302,4.3168026705125175,51.203079361038334,4.4,0.6206116870142896,36460146.42794765
1e+20,5e+18,10000000000.0,4.8064918936740195,2.2265812580776605,83.98245918329525,4.4,1.6183263590449466,12169611.681932935
1e+20,5e+18,10000000000.0,8.160205386318278,4.482743652442107,3.4653620163973873,4.4,1.1981315918906197,8402175.884243911
1e+20,5e+18,10000000000.0,2.2724519879470617,3.2830072574725073,68.0967761377383,4.4,0.7948814045339415,30556164.022733763
1e+20,5e+18,10000000000.0,2.172883898551023,3.7881917933017855,81.56540681991885,4.4,0.8681547068255832,20954189.56230219
1e+20,5e+18,10000000000.0,6.790860545655977,2.268956693707037,15.155689327169004,4.4,1.8853141486991694,11581318.812928796
1e+20,5e+18,10000000000.0,2.7746468377125963,3.012077235071839,11.362949100697179,4.4,0.9228499970701793,26252450.183500536
1e+20,5e+18,10000000000.0,1.8784903429809243,2.2691027570445375,39.93781682517813,4.4,0.8060482237585954,25647903.183456607
1e+20,5e+18,10000000000.0,2.5016372038501986,4.884631168643329,84.23006483356535,4.4,0.6744126783653176,18966219.944610313
1e+20,5e+18,10000000000.0,9.313582562890986,4.421784947978751,50.18763073656817,4.4,1.325975409269332,4834492.583185612
1e+20,5e+18,10000000000.0,8.393241274985717,3.378898263069381,48.8887123437907,4.4,1.3718732832957883,5425215.481101993
1e+20,5e+18,10000000000.0,4.186581061195847,2.6708076449710134,15.277972292041003,4.4,1.3738741502747411,16702524.312565008
1e+20,5e+18,10000000000.0,6.9023869059465355,4.8003653157495565,3.0686874651100347,4.4,1.080200465393906,8516788.623862792
1e+20,5e+18,10000000000.0,5.835481063012343,3.033789787180915,73.48218789485513,4.4,1.3614753293795447,12221334.649106005
1e+20,5e+18,10000000000.0,7.094118371343075,2.4829532950621243,10.618986979802726,4.4,1.6131315558564627,9846212.32938125
1e+20,5e+18,10000000000.0,7.1440403721648345,3.689493165361865,58.14493422997319,4.4,1.6598448473545253,8984342.920329725
1e+20,5e+18,10000000000.0,6.658606135539936,4.831322361034449,82.57163154282166,4.4,1.122832507170164,10130448.158378327
1e+20,5e+18,10000000000.0,3.3949123168357773,2.0114908715009676,21.152716444783497,4.4,1.080873618012184,11998610.029826028
1e+20,5e+18,10000000000.0,1.351057786865363,2.7143745297619963,60.87873675261124,4.4,0.58975569674421,38837055.21874156
1e+20,5e+18,10000000000.0,5.10010103791098,4.815342921231223,9.846776173553323,4.4,1.0665025586259664,12845409.666081974
1e+20,5e+18,10000000000.0,9.018764962216334,2.513257900571486,55.52669751387233,4.4,1.9696180815806072,4476643.7875467185
1e+20,5e+18,10000000000.0,6.125475326667183,2.3397303549194595,17.26205972292864,4.4,1.5654513686827012,6745448.400946395
1e+20,5e+18,10000000000.0,8.491519375317171,3.7105616473994134,67.0279597648205,4.4,1.4715279828467962,8723470.562186465
1e+20,5e+18,10000000000.0,9.924619086651052,4.58553146988449,29.207122647070012,4.4,1.2086714402201921,6787262.451038114
1e+20,5e+18,10000000000.0,2.4725458372444864,3.431329453081778,43.315017766004225,4.4,0.8544879042165848,20470718.302727647
1e+20,5e+18,10000000000.0,7.225998752277841,4.983692770053574,55.150457156403085,4.4,1.2064125936714325,9343831.340057265
1e+20,5e+18,10000000000.0,7.068642163300222,4.037515098613978,17.900786727962846,4.4,1.1376752860808317,10143145.615408534
1e+20,5e+18,10000000000.0,9.819599026224505,2.2222247216313433,67.52249021973302,4.4,1.768990344153516,5323208.329057585
1e+20,5e+18,10000000000.0,9.870406605575203,4.9784963950459264,29.329709635402867,4.4,1.1960394520112039,4198560.075180658
1e+20,5e+18,10000000000.0,7.1801075055171655,3.2236827103405714,60.62635181240955,4.4,1.2542416282949396,10767410.505776381
1e+20,5e+18,10000000000.0,3.1925331278397486,2.8622076015364475,16.770625410845508,4.4,1.102475841569676,16854075.236561213
1e+20,5e+18,10000000000.0,8.187002543175392,3.6736375507336567,62.86623635095247,4.4,1.3116020257718675,5406040.89200905
1e+20,5e+18,10000000000.0,1.963262207899343,2.912922775462593,14.15236233451017,4.4,0.7393381851709242,30395468.63155704
1e+20,5e+18,10000000000.0,8.026293737544659,2.259372521360457,40.00601517548858,4.4,1.6386932110780623,8813371.917311015
1e+20,5e+18,10000000000.0,9.191765117302268,2.00428502923753,24.50692841528228,4.4,2.5336912837436962,5316268.634053634
1e+20,5e+18,10000000000.0,4.4455005529159175,3.348750058760787,68.10864670025188,4.4,1.3156091241143888,11422696.139814198
1e+20,5e+18,10000000000.0,6.675717654847724,4.510590266679777,25.797045392098088,4.4,1.0854092155441193,7446180.626864334
1e+20,5e+18,10000000000.0,4.871284588871436,3.71694555689023,79.70940565639947,4.4,1.0658367781436326,16354397.009624131
1e+20,5e+18,10000000000.0,4.939885494893156,4.9976218968303225,80.58835839237531,4.4,0.8788362247580689,9695801.531986246
1e+20,5e+18,10000000000.0,3.7933380019730807,2.8605399369416,20.090394424382367,4.4,1.1478183797938502,16613549.503330596
1e+20,5e+18,10000000000.0,7.859166584052922,2.841365194280166,56.40459721567201,4.4,1.3435453719115107,9798823.430278366
1e+20,5e+18,10000000000.0,9.425589077498547,2.479248380701833,10.631434829636897,4.4,2.08347332270687,4867161.3389797965
1e+20,5e+18,10000000000.0,9.46675773311015,2.4921907647960055,37.06372766534174,4.4,1.9670457200828622,8327472.840990125
1e+20,5e+18,10000000000.0,2.5730315638744043,2.8555597880301433,65.05899046661068,4.4,1.1006038808777812,30275217.167770207
1e+20,5e+18,10000000000.0,8.872692846909095,4.378520135820581,60.36982247594271,4.4,1.2324238571675934,8496054.217473673
1e+20,5e+18,10000000000.0,7.6368829728440994,4.717270371909343,57.34895823837489,4.4,1.4271433696717395,6361530.093619763
1e+20,5e+18,10000000000.0,3.2755366062126035,4.925261509123044,27.581055138632593,4.4,0.9107431688638488,19954654.793498255
1e+20,5e+18,10000000000.0,1.605561516293631,2.696868962289358,35.888170600792975,4.4,0.6565201009814053,43869797.702331126
1e+20,5e+18,10000000000.0,3.4119754019594017,4.643892636842275,11.956314588924897,4.4,0.8223795421853703,23283027.504312128
1e+20,5e+18,10000000000.0,9.20987413103373,2.984765267832011,65.55498537772328,4.4,1.5248321116843637,5126775.047245419
1e+20,5e+18,10000000000.0,6.6986080740619505,2.3385216335506533,46.838325320840795,4.4,1.526420862752419,10545629.061999448
